Unnamed: 0,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,date
32,lykkefisker,Nysgerrig 🕵️‍♀️,Denmark,1030,671,8301,0,"@MannicheVibeke Jeg vil også rigtig gerne vide, hvor stor % af de indlagte er vaccinerede. Og så må det efter 1,5 år være muligt først og fremmest at sortere alle fra, der er indlagt af anden årsag. Indtil da er tallet ubrugeligt @SSI_dk 
#COVID19dk",['COVID19dk'],2021-08-17 03:30:10
33,ALinnean1000,Sweden. Retweet does not always mean agree.  🇸🇪,,4997,3426,99200,21,"Nyttig viden om sygehustestning. Troede faktisk ikke det stod så slemt til. Teststrategien er fuldkommen irrationel som det fremgår af artiklen her.
https://t.co/0RjpXC9L48
#stopdet #dkpol #dkmedier #sundpol #Covid19dk #coronadk #COVID19 https://t.co/qlcKoq5zeD https://t.co/ItGMRgipRH",[],2021-08-17 00:35:10
34,Simply_Rain_S,Friend. Librarian. Teacher. Artist. Patron. Ally. Advocate. Activist. Listener. Human. And SO much more. My personal account--my thoughts are my own. she/they,"Greenwood, IN",223,880,116604,1,fascinating data analysis here https://t.co/6sVo26lmP0,[],2021-08-17 00:01:47
35,SupAyaLaya,,,1228,521,34115,1,"Beder alle indberette dette tweet, da det tydeligt opfordrer til overgreb, tvang og vold mod børn og unge. Bør ikke høre hjemme på sociale medier
#coronadk #dkmedier #dkpol #covid19dk 
@SSTbrostrom @Heunicke hvad er det for nogle monstre i har skabt ? https://t.co/Ido6EZf2EC",[],2021-08-16 23:59:33
36,ScottyBonner,"Personal acct. Views are my own, NOT @fergusonlibrary's - obviously. Libraries don't opine on govt corruption, share geekery, or babble about a director's day.",St. Louis,262,2567,31250,1,fascinating data analysis here https://t.co/6sVo26lmP0,[],2021-08-16 23:48:33
37,NightRiderTunes,The #truth can be ugly 📸👉IG: @Nightridertunes Tiktok: https://t.co/1uBgnHSMEz  #chicagoscanner #marylandscanner #mocoscan #streetphotojournalist,"North Bethesda, MD",791,1271,19080,0,"🤔 National Center for Disaster 
#Covid19 #CovidFraud https://t.co/M31rOQClQ2","['Covid19', 'CovidFraud']",2021-08-16 22:48:53
38,Trekant2,just looking around,Danmark,444,143,2217,21,"Nyttig viden om sygehustestning. Troede faktisk ikke det stod så slemt til. Teststrategien er fuldkommen irrationel som det fremgår af artiklen her.
https://t.co/0RjpXC9L48
#stopdet #dkpol #dkmedier #sundpol #Covid19dk #coronadk #COVID19 https://t.co/qlcKoq5zeD https://t.co/ItGMRgipRH",[],2021-08-16 21:46:34
39,transceiverfreq,"xi=aixi'-(d+ai0+ai1)xi+rxi(fi-Φ ) | Freelance Research | Infosec | Professional 10th woman | Websnedker | 微博：zzz大梦想家 ☆ [Videnskab, klima & ugens kortfilm]","Frederiksberg, Denmark",339,1089,44893,0,"Fascinerende og bekymrende læsning. #dkpol #LongCovid #COVID19  [For mere viden om EBV og Monokleose: https://t.co/ByIua9bXl1]
https://t.co/rEdu0DqZAC","['dkpol', 'LongCovid', 'COVID19']",2021-08-16 21:40:10
40,stefanhandberg,"Selvstændig, kritisk samfundsrevser.",Aarhus,300,162,2110,27,"Myocarditis og pericarditis efter vaccination for COVID-19. 5,7 indlæggelser pr. 10.000 vaccinerede. Myocarditis med overvægt af yngre mænd. - Indlæggelser underestimerer det reelle antal.
https://t.co/WtOSRsfP2m
#stopdet #dkpol #dkmedier #sundpol #Covid19dk #coronadk #COVID19",[],2021-08-16 21:33:35
41,MRLASSEN,"Iværksætter og ihærdig forkæmper for Naturen og for den nødvendige Grønne Omstilling ☼

☼ SmartFlower™ Scandinavia☼ 
☼ https://t.co/FOLXeUel1D because your Life M",LASSEN-HOVEDGADEN 24-BIRKERØD,36,26,3363,0,@DavidTrads Du må da være gal i hovedet...fyldt af storhed..S..vanvid...!!! #dkpol #VACCINE #COVID19 #Corona,"['dkpol', 'VACCINE', 'COVID19', 'Corona']",2021-08-16 21:21:10
42,Mullarrd,"Nearsighted scrap pile, perpetual lefty. Searching to resist oppression and injustice in all its forms. Enjoying comic book heroes and makeup on the way.",Pangaea,515,536,39951,17,Få din vaccination uden tidsbestilling. Der er drop-in vaccination alle dage 9-18 i vaccinationscentrene i Region Hovedstaden. På #Bornholm er der drop-in alle dage 9-16. Se åbningstider i dit lokale vaccinecenter: https://t.co/ZWVMGuie2k @RegionH #sundpol #dkpol #COVID19dk https://t.co/9GpxrU43tA,[],2021-08-16 21:14:11
43,JonPloug,Historian with a strong scientific bent. Trying hard to solve some of the problems within the history of epidemics.,"København, Danmark",81,39,418,0,"Måske alle vaccinerede kvinder burde nægte at date de uvaccinerede. Det eneste der som bekendt er vigtigere for mange unge mænd end alt andet (inkl. angst for at virke svag) er jo sex. Så måske et ""Nej-tak til ikke-vax"" vil få DK helt i top? :) #covid19dk #coronadk","['covid19dk', 'coronadk']",2021-08-16 21:11:43
44,Mullarrd,"Nearsighted scrap pile, perpetual lefty. Searching to resist oppression and injustice in all its forms. Enjoying comic book heroes and makeup on the way.",Pangaea,515,536,39951,5,"Bare for en god ordens skyld

I maj 2021 fremhævede Nordisk Råd Danmark for at have givet mest økonomisk støtte til kulturlivet ifm #COVID19

#dkpol 

https://t.co/fHP4alH4Xe",[],2021-08-16 21:11:36
45,PeterHedegaard5,"Father. Investor. Biz owner
Critic of MSM and politicians, who pursue selfish ambitions with false narratives while deliberately trying to divide us. Cui bono?",Copenhagen,621,126,1568,21,"Nyttig viden om sygehustestning. Troede faktisk ikke det stod så slemt til. Teststrategien er fuldkommen irrationel som det fremgår af artiklen her.
https://t.co/0RjpXC9L48
#stopdet #dkpol #dkmedier #sundpol #Covid19dk #coronadk #COVID19 https://t.co/qlcKoq5zeD https://t.co/ItGMRgipRH",[],2021-08-16 21:09:27
46,PiotrTa1,"life has a flavour the sheltered Will never know!
MAGA - Danes for Trump.
Tweets in Dansk, Deutsch, English 
Ich würde AFD wählen
GETTR: PiotrTa1",,1641,1301,28403,6,Opdateret status: uændret generelt billede for bivirkninger efter vaccination mod #COVID19. Langt de fleste bivirkninger er kendte og forbigående. De 12-15-årige udviser samme bivirkningsprofil som befolkningen som helhed. Læs mere: https://t.co/dPcU5D7lbz https://t.co/Is2qlSmZRN,['COVID19'],2021-08-16 20:30:16
47,AndyHorvitz,Dad. Skier. Entrepreneur. Innovator. Foodie. Digital transformations at https://t.co/dNuIA7cL0f #BigData #MachineLearning #AI and more.,Massachusetts,4539,1606,42379,2,"In #COVID19 era. #SWOT analysis: #DigitalTransformation in #education @catherinerey v/@EHLnews

#edtech #innovation #distancelearning #AI #elearning #SmartNews 

@IanLJones98 @Shi4Tech @lyakovet @YIbnM @enilev @EvaSmartAI @RagusoSergio @sallyeaves @DeepLearn007 @avrohomg @AkwyZ https://t.co/NAzbmygLFp","['COVID19', 'SWOT', 'DigitalTransformation', 'education', 'edtech', 'innovation']",2021-08-16 20:11:45
48,Charlot45249102,"Filisofi , politik og livet i al almindelighed",,258,276,4906,27,"Myocarditis og pericarditis efter vaccination for COVID-19. 5,7 indlæggelser pr. 10.000 vaccinerede. Myocarditis med overvægt af yngre mænd. - Indlæggelser underestimerer det reelle antal.
https://t.co/WtOSRsfP2m
#stopdet #dkpol #dkmedier #sundpol #Covid19dk #coronadk #COVID19",[],2021-08-16 20:10:38
49,StineLacoul,"Kvinde født i den Frie Verden.
Kæmpe modstander af #Transhumanism og #CriticalRaceTheory
Malo periculosam, libertatem quam quietam servitutem",Danmark,583,248,6911,2,"@Peter37570912 Årsagen er, at vi tester mere i 2021 med de elendige PCR-tests, som skaber myriader af falske positive 'cases'.

Når en positiv så indlægges med andre ting - brækket ben f.eks - bliver han alligevel reg. som 'covid19-patient'.

Sådan skabes en 'case-demic'
https://t.co/dpaMhBnzfL",[],2021-08-16 20:03:38
50,DistanceLrnBot,"Follow this account to get Tweets with hashtag #distancelearning in your timeline.  Share, learn, & support students together.  Managed by @MrsJennCarr.",San Diego,0,1421,51055,2,"In #COVID19 era. #SWOT analysis: #DigitalTransformation in #education @catherinerey v/@EHLnews

#edtech #innovation #distancelearning #AI #elearning #SmartNews 

@IanLJones98 @Shi4Tech @lyakovet @YIbnM @enilev @EvaSmartAI @RagusoSergio @sallyeaves @DeepLearn007 @avrohomg @AkwyZ https://t.co/NAzbmygLFp","['COVID19', 'SWOT', 'DigitalTransformation', 'education', 'edtech', 'innovation']",2021-08-16 19:53:48
51,c4trends,"Tech Columnist, Industry Analyst, Advisor at nexus of innovation & #transformation w/#tech:#trends #startups #healthtech #5G #AI #IoT #AR #lifestyle #tradeshows","Boston, MA",1057,1555,14544,2,"In #COVID19 era. #SWOT analysis: #DigitalTransformation in #education @catherinerey v/@EHLnews

#edtech #innovation #distancelearning #AI #elearning #SmartNews 

@IanLJones98 @Shi4Tech @lyakovet @YIbnM @enilev @EvaSmartAI @RagusoSergio @sallyeaves @DeepLearn007 @avrohomg @AkwyZ https://t.co/NAzbmygLFp","['COVID19', 'SWOT', 'DigitalTransformation', 'education', 'edtech', 'innovation', 'distancelearning', 'AI', 'elearning', 'SmartNews']",2021-08-16 19:52:23
52,A_sick_world,"En röst för de svaga i samhället. Det finns för få behövs många fler!

(Blockar troll, rasister, hatare och vetenskapsförnekare.)",,810,954,93401,4,"The International Federation of Red Cross and Red Crescent Societies siger det her - Men her i Danmark er Covid-19 forbi. #ZeroCovid #NoCovid #DenmarkCanBeZero #COVID19 #StrategiskiftNU #dkpol #Masks #Mundbind #Delta 
https://t.co/S3TENyX5vJ https://t.co/5koHu8XUZL",[],2021-08-16 19:42:39
53,Guller97046176,,,185,34,637,1,"På nuværende tidspunkt kommer det næppe bag på nogen, at bodega-virologerne i Cepos ikke forstår noget.
Gud være lovet, at ingen i en ansvarsfuld position har lyttet til dem, så ville vi have haft 10.000 døde i Danmark i stedet for 2500
 @MartinCEPOS @JonasHerby #covid19dk #dkpol https://t.co/QaaSvdz0gE",[],2021-08-16 19:41:39
54,Charlot45249102,"Filisofi , politik og livet i al almindelighed",,258,276,4906,0,"@sbporse Min kollega, fik en blodprop i hjernen efter vaccinen mod covid19, hun blev indlagt på Rigshospitalet. Hun er 30 år.",[],2021-08-16 19:29:51
55,RasmusMalver,Forfatnings- & menneskeretsjurist. Aktivist. En mand med en sag: Kæmper imod Ulovlig Logning. Foto på https://t.co/stG3PKgmdB. Ingen startkomma. Han/ham. Tlf 26 80 94 24,,1168,5024,29563,0,"Det fedeste ved placebo-effekten er at den virker, selvom vi ved at vi ikke bliver behandlet. Jeg havde milde forkølelsessymptomer, så selvom jeg er vaccineret, blev jeg testet. Da jeg fik negativ-svaret, fik jeg det bedre. Nogen har undersøgt mig, så det går nok. #coronadk https://t.co/uTr52RgFTn",['coronadk'],2021-08-16 19:21:13
56,MadsWI,"Naturopathic Doctor in compl. med., Heilpraktiker, Ambulancebehandler, President@ May Day for Health and Freedom https://t.co/491qnWByWT 
https://t.co/63F5HkcQC",Denmark,637,335,4513,21,"Nyttig viden om sygehustestning. Troede faktisk ikke det stod så slemt til. Teststrategien er fuldkommen irrationel som det fremgår af artiklen her.
https://t.co/0RjpXC9L48
#stopdet #dkpol #dkmedier #sundpol #Covid19dk #coronadk #COVID19 https://t.co/qlcKoq5zeD https://t.co/ItGMRgipRH",[],2021-08-16 19:00:18
57,FreeObserver3,Independent media,,37,309,323,7,"2/n. Vi ved det naturligvis godt. Men det her er blot endnu en understregning af, at coronapas er meningsløse. - Og oveni er de også diskriminerende. - Folketingets beslutning om dem er en skamplet for folkestyret.
#stopdet #dkpol #dkmedier #sundpol #Covid19dk #coronadk #COVID19",[],2021-08-16 18:54:13
58,FreeObserver3,Independent media,,37,309,323,46,"Det her er vist den første videnskabelige artikel, der viser, hvad der længe har været opfattelsen, at vaccinerede med breakthrough-infektion udskiller lige så mange vira som uvaccinerede med infektion.
#stopdet #dkpol #dkmedier #sundpol #Covid19dk #coronadk #COVID19 https://t.co/u8sZDtNdM3",[],2021-08-16 18:54:07
59,Boedens1,"Spiller på de meste, både i livet og i andre dimensioner...YOLO or whatever",,120,16,732,0,"@ArffPia @CopenhagenDroid @Sappy113 @ScaveniusTor Jeg tror også at vaccinationen vil hjælpe den enkelte, til at få et meget nemmere covid19 sygdomsforløb, hvis man skulle være uheldig, at blive smittet med corona og det gælder nærmest alle aldersgrupper, pånær måske børnene.",[],2021-08-16 18:51:03
60,Momse982183871,Here for the fight for freedom,,33,6,351,7,"2/n. Vi ved det naturligvis godt. Men det her er blot endnu en understregning af, at coronapas er meningsløse. - Og oveni er de også diskriminerende. - Folketingets beslutning om dem er en skamplet for folkestyret.
#stopdet #dkpol #dkmedier #sundpol #Covid19dk #coronadk #COVID19",[],2021-08-16 18:48:04
61,StineLacoul,"Kvinde født i den Frie Verden.
Kæmpe modstander af #Transhumanism og #CriticalRaceTheory
Malo periculosam, libertatem quam quietam servitutem",Danmark,583,248,6911,21,"Nyttig viden om sygehustestning. Troede faktisk ikke det stod så slemt til. Teststrategien er fuldkommen irrationel som det fremgår af artiklen her.
https://t.co/0RjpXC9L48
#stopdet #dkpol #dkmedier #sundpol #Covid19dk #coronadk #COVID19 https://t.co/qlcKoq5zeD https://t.co/ItGMRgipRH",[],2021-08-16 18:35:19
62,Annoula64,~I dream of a world free of war & the threat of war; equity & justice for all; a community where every person's potential may be fulfilled  & an earth restored~,Sweden,4995,3147,625415,1,"Trods den voksende vaccineudrulning verden over peger mere og mere på, at vi kommer til at leve med covid-19 i årtier fremover.

#COVID19

https://t.co/g7GXGa8IRW",[],2021-08-16 18:30:47
63,KlausKblog,"Klaus K, journalist & sangskriver i Danser med Drenge. Skriver om frihed, livsstil, forbud & tvang: https://t.co/yLL8XKHHDv",København,511,2464,33254,21,"Nyttig viden om sygehustestning. Troede faktisk ikke det stod så slemt til. Teststrategien er fuldkommen irrationel som det fremgår af artiklen her.
https://t.co/0RjpXC9L48
#stopdet #dkpol #dkmedier #sundpol #Covid19dk #coronadk #COVID19 https://t.co/qlcKoq5zeD https://t.co/ItGMRgipRH",[],2021-08-16 18:22:01
64,HelpForYou2day,Non political correct advocating for freedom and health - no tolerance for trolls. Choosing courage over fear.,Copenhagen,312,294,7707,21,"Nyttig viden om sygehustestning. Troede faktisk ikke det stod så slemt til. Teststrategien er fuldkommen irrationel som det fremgår af artiklen her.
https://t.co/0RjpXC9L48
#stopdet #dkpol #dkmedier #sundpol #Covid19dk #coronadk #COVID19 https://t.co/qlcKoq5zeD https://t.co/ItGMRgipRH",[],2021-08-16 18:20:21
65,ChristianHal3,,"København, Danmark",344,64,1514,21,"Nyttig viden om sygehustestning. Troede faktisk ikke det stod så slemt til. Teststrategien er fuldkommen irrationel som det fremgår af artiklen her.
https://t.co/0RjpXC9L48
#stopdet #dkpol #dkmedier #sundpol #Covid19dk #coronadk #COVID19 https://t.co/qlcKoq5zeD https://t.co/ItGMRgipRH",[],2021-08-16 18:12:46
66,engelhardtcph,Breaking-news addicted. Politics and economics. Tweet a lot of different stuff - I drink a lot of coffee... work @ https://t.co/XaMJklKV03,Copenhagen,2799,899,12651,0,"2,5-4% af alle uvaccinerede personer på 20-29 vil blive indlagt hvis de smittes med Delta-varianten. Det er 2-3 gange flere end med den britiske variant. #coronadk #covid19dk https://t.co/8oldIe68so","['coronadk', 'covid19dk']",2021-08-16 17:53:37
67,GeertTonijnberg,Pot in het verkeerde lichaam.,,355,309,6121,0,Taliban - nog sneller dan de #DeltaVariant,['DeltaVariant'],2021-08-16 17:44:30
68,SHvidberg,Tweets om #biblioteker #lyrik #dkkultur #ensomhed #fampol #dkpol,København,1762,1461,13198,0,Nu 3 smittede i søns 9.klasse. Onlineskole igen 😩 #covid19dk,['covid19dk'],2021-08-16 17:41:19
69,berlingske,Håndplukkede nyheder siden 1749. Men stadig utroligt frisk. // Berlingske is one of the leading newspapers in Denmark. Published in Copenhagen since 1749.,Danmark,569,150461,105382,1,"Trods den voksende vaccineudrulning verden over peger mere og mere på, at vi kommer til at leve med covid-19 i årtier fremover.

#COVID19

https://t.co/g7GXGa8IRW",['COVID19'],2021-08-16 17:30:18
70,HKprivat,Vi organiserer 110.000 medlemmer i den private sektor. Pressekontakt: @tinamellergaard 📞 4272 2378 @anetteclaudi 📞3010 3291 #dkpol #arbejde #taligestilling,Danmark,310,892,2118,1,"Nej tak, Genmab: det er ufatteligt udansk at tvinge medarbejderne til at lade sig covid-19-vaccinere!  Laboranterne evner nemlig at tage en egen helbredsmæssig vurdering om de har brug for at lade sig vaccinere mod covid-19 #covid19dk #dksund #laborantdk https://t.co/dp8WxZ2Nc2",[],2021-08-16 17:30:18
71,johnwagnerdsk,Adm. dir. og talsmand for De Samvirkende Købmænd. Klummeskribent på Mandag Morgen. Tweeter om #dkpol #dkbiz #dkfood Fang mig på 20 23 26 16 eller jw@dsk.dk,København,605,2244,6799,1,"Vi beholder afstandsmarkeringer osv indtil videre 👍 
#covid19dk #dkbiz  https://t.co/c5tjZEOvSc","['covid19dk', 'dkbiz']",2021-08-16 17:28:27
72,SusanneBahne,"Formand for Dansk Laborant-Forening/HK (@laborantdk) - om laboranter, videnskab, politik, fodbold og et komplekst samfund - kontakt mig: 6155 0637",Kongens Lyngby,262,245,543,1,"Nej tak, Genmab: det er ufatteligt udansk at tvinge medarbejderne til at lade sig covid-19-vaccinere!  Laboranterne evner nemlig at tage en egen helbredsmæssig vurdering om de har brug for at lade sig vaccinere mod covid-19 #covid19dk #dksund #laborantdk https://t.co/dp8WxZ2Nc2","['covid19dk', 'dksund', 'laborantdk']",2021-08-16 17:21:27
73,Jesper_Folke,"Arbejder med sikring af rent drikkevand, spildevandsrensning og klimatilpasning. Far til fire og gift med verdens dejligste kvinde.","Roskilde, Danmark",160,113,1486,7,"2/n. Vi ved det naturligvis godt. Men det her er blot endnu en understregning af, at coronapas er meningsløse. - Og oveni er de også diskriminerende. - Folketingets beslutning om dem er en skamplet for folkestyret.
#stopdet #dkpol #dkmedier #sundpol #Covid19dk #coronadk #COVID19",[],2021-08-16 17:17:43
74,JohnnyHeinlein,"Get on https://t.co/ItATGfmdjA
https://t.co/cZ8gMEfmkU","Dragør, Danmark",1034,233,7692,27,"Myocarditis og pericarditis efter vaccination for COVID-19. 5,7 indlæggelser pr. 10.000 vaccinerede. Myocarditis med overvægt af yngre mænd. - Indlæggelser underestimerer det reelle antal.
https://t.co/WtOSRsfP2m
#stopdet #dkpol #dkmedier #sundpol #Covid19dk #coronadk #COVID19",[],2021-08-16 17:11:54
75,VeritasTB2,"#NoMoreWars, lies, imperialism & bad science #FreeAssange
Life is short, so I block idiots and trolls. 
Likes, follows and retweets do not equal endorsement.",Nordic,1601,933,53547,7,"2/n. Vi ved det naturligvis godt. Men det her er blot endnu en understregning af, at coronapas er meningsløse. - Og oveni er de også diskriminerende. - Folketingets beslutning om dem er en skamplet for folkestyret.
#stopdet #dkpol #dkmedier #sundpol #Covid19dk #coronadk #COVID19",[],2021-08-16 17:09:31
76,jjhjort,fritids researcer i sager som har eller kan have offentlighedens kendskab og interesse 😂😂😂,"Hovedstaden, Danmark",945,395,65909,5,"Bare for en god ordens skyld

I maj 2021 fremhævede Nordisk Råd Danmark for at have givet mest økonomisk støtte til kulturlivet ifm #COVID19

#dkpol 

https://t.co/fHP4alH4Xe",[],2021-08-16 17:04:53
77,Uggla100,,Denmark,1573,704,64449,5,"Bare for en god ordens skyld

I maj 2021 fremhævede Nordisk Råd Danmark for at have givet mest økonomisk støtte til kulturlivet ifm #COVID19

#dkpol 

https://t.co/fHP4alH4Xe",[],2021-08-16 17:03:43
78,ThiasKronhjort,Tech is the thing!  🤓🦌 Dream Big 🚀 I also tweet in English! Ophavsmand til “ADHD PODCASTEN” 🎧🎤 Medlem af @adhdforeningen 💬,,905,969,32894,0,"Er #coronapas også droppet, som følge af de fjernede restriktioner? 

#corona #COVID19dk #sundpol","['coronapas', 'corona', 'COVID19dk', 'sundpol']",2021-08-16 16:56:56
79,GitteKJP,"Søger viden, nyheder og indsigter til eftertanke.",København,972,947,231239,17,Få din vaccination uden tidsbestilling. Der er drop-in vaccination alle dage 9-18 i vaccinationscentrene i Region Hovedstaden. På #Bornholm er der drop-in alle dage 9-16. Se åbningstider i dit lokale vaccinecenter: https://t.co/ZWVMGuie2k @RegionH #sundpol #dkpol #COVID19dk https://t.co/9GpxrU43tA,[],2021-08-16 16:41:45
80,KlausKblog,"Klaus K, journalist & sangskriver i Danser med Drenge. Skriver om frihed, livsstil, forbud & tvang: https://t.co/yLL8XKHHDv",København,511,2464,33254,2,"@Peter37570912 Årsagen er, at vi tester mere i 2021 med de elendige PCR-tests, som skaber myriader af falske positive 'cases'.

Når en positiv så indlægges med andre ting - brækket ben f.eks - bliver han alligevel reg. som 'covid19-patient'.

Sådan skabes en 'case-demic'
https://t.co/dpaMhBnzfL",[],2021-08-16 16:36:14
81,me_marco,Me and room service are living a life of sin.,Aarhus,1620,710,65449,1,"På nuværende tidspunkt kommer det næppe bag på nogen, at bodega-virologerne i Cepos ikke forstår noget.
Gud være lovet, at ingen i en ansvarsfuld position har lyttet til dem, så ville vi have haft 10.000 døde i Danmark i stedet for 2500
 @MartinCEPOS @JonasHerby #covid19dk #dkpol https://t.co/QaaSvdz0gE","['covid19dk', 'dkpol']",2021-08-16 16:16:26
82,SamuraiTux,🙏 Yoga & Meditation Teacher 🧘‍♂️ Electronics Engineer 📡,Copenhagen,1648,181,2468,0,"INDLAGTE LIGE NU
117
Heraf 15 på intensiv

Og alligevel forsøger #dkmedier med de sidste krampetrækninger at holde frugten i live 🤯 #stopdet 

#dkpol #sundpol #Covid19dk #coronadk #COVID19

https://t.co/uyIrB9LCBV","['dkmedier', 'stopdet', 'dkpol', 'sundpol', 'Covid19dk', 'coronadk', 'COVID19']",2021-08-16 16:08:55
83,idamariehansen7,,Nykøbing Sjælland,1292,346,21549,17,Få din vaccination uden tidsbestilling. Der er drop-in vaccination alle dage 9-18 i vaccinationscentrene i Region Hovedstaden. På #Bornholm er der drop-in alle dage 9-16. Se åbningstider i dit lokale vaccinecenter: https://t.co/ZWVMGuie2k @RegionH #sundpol #dkpol #COVID19dk https://t.co/9GpxrU43tA,[],2021-08-16 16:07:07
84,SikreSkoler,"Foreningen arbejder for et bedre indreklima og øget sikkerhed i de danske skoler og institutioner for både elever, lærere og pædagoger  især nu under pandemien.","Copenhagen, Denmark",76,68,107,0,"3/ Læs hvordan andre lande arbejder for et bedre indeklima her:

Australien: https://t.co/9VLSRwMBrQ
#BeskytBørneneModCovid19 #SikreSkoler #Covid19 #dkpol #ProtectTheKids","['BeskytBørneneModCovid19', 'SikreSkoler', 'Covid19', 'dkpol', 'ProtectTheKids']",2021-08-16 16:06:10
85,SikreSkoler,"Foreningen arbejder for et bedre indreklima og øget sikkerhed i de danske skoler og institutioner for både elever, lærere og pædagoger  især nu under pandemien.","Copenhagen, Denmark",76,68,107,0,"2/ SKOLER OG INSTITUTIONER BØR PRIORITERE: 

💙 CO2 målere (der viser hvornår luftkvaliteten er for dårlig)

💙 åbne vinduer

💙 elektrisk ventilation og luftrensere (til at hjælpe hvis åbne vinduer ikke er nok)
#BeskytBørneneModCovid19 #SikreSkoler #Covid19 #dkpol","['BeskytBørneneModCovid19', 'SikreSkoler', 'Covid19', 'dkpol']",2021-08-16 16:05:07
86,SikreSkoler,"Foreningen arbejder for et bedre indreklima og øget sikkerhed i de danske skoler og institutioner for både elever, lærere og pædagoger  især nu under pandemien.","Copenhagen, Denmark",76,68,107,0,"Covid19 er luftbåren og derfor er god luftkvalitet en af de bedste måder at forebygge smittespredning  på. Et godt indeklima forebygger ikke bare smittespredning, det fører også til bedre koncentration og mindre træthed.
#BeskytBørneneModCovid19 #SikreSkoler #Covid19 #dkpol https://t.co/BklcNirgo8","['BeskytBørneneModCovid19', 'SikreSkoler', 'Covid19', 'dkpol']",2021-08-16 16:04:07
87,ThomasHeie,Fængselsbetjent - FREM'er - Fotograf - FDFer,"København, Danmark",111,269,21567,0,"Indsatsen i Afghanistan har kostet Danmark 15 milliarder kr. de sidste 20 år.

Det samme beløb som vi har brugt på 6,5 måned på coronahåndteringen #dkpol #COVID19dk

Det var bare det.","['dkpol', 'COVID19dk']",2021-08-16 15:48:37
88,thomasandrea80,"Hjertet bankende for Nerazzurri og calcio verdenen, siden Lothar's dage i blåsort i 1988🇮🇹 Meget om fodbold, lidt om golf.",,215,327,16928,0,@BrianBoedker @Don_Ulrik Kun 100 mio € kan relateres til Covid19. Laporta siger 200 mio € på lønbudget men uden at sælge stjerner. Messi er røget så det er vel 60 mio €'ish. Hvordan vil man finde knap 150 mio € yderligere på marginalspillere som ingen gider. 😅,[],2021-08-16 15:40:18
89,FaerchJensen,,,177,112,1982,7,"2/n. Vi ved det naturligvis godt. Men det her er blot endnu en understregning af, at coronapas er meningsløse. - Og oveni er de også diskriminerende. - Folketingets beslutning om dem er en skamplet for folkestyret.
#stopdet #dkpol #dkmedier #sundpol #Covid19dk #coronadk #COVID19",[],2021-08-16 15:34:42
90,anne_dalhoff,"Funktionschef, Projektudvikling og Forebyggelse, Det Nære Sundhedsvæsen, Region Sjælland","Næstved, Danmark",140,50,86,5,"Vi møder de unge dér, hvor de er. I denne uge åbner Region Sjælland pop-up vaccinationscentre på uddannelsesinstitutioner yderligere 13 forskellige steder. Her taler en af vores medarbejdere med en elev på Slotshaven Gymnasium i Holbæk i sidste uge. #Covid19dk #Sundpol https://t.co/cMNVBwWsYX",[],2021-08-16 15:18:46
91,ProfPHansen,"""Its easier to fool people than to convince them that they have been fooled."" -- Mark Twain (not an exact quote, but you might not believe me).",,231,1896,4364,1,"@ProfPHansen @mikebarnkob @mortenkj @AKiversen @wejse1 @dr2deadline og #dkmedier må researche inden de interviewer. De vil hurtigt opdage, at påståede fordele ved ""naturlig immunitet"" står øverst på WHO’s liste over myter og misforståelser.
https://t.co/BXnlVmSqqO 
@LarsIgum @berlingske @jyllandsposten  @tv2nyhederne #covid19dk",['dkmedier'],2021-08-16 15:13:53
92,settedk,Fritænkende og frihedselskende menneske.,,72,33,1323,7,"2/n. Vi ved det naturligvis godt. Men det her er blot endnu en understregning af, at coronapas er meningsløse. - Og oveni er de også diskriminerende. - Folketingets beslutning om dem er en skamplet for folkestyret.
#stopdet #dkpol #dkmedier #sundpol #Covid19dk #coronadk #COVID19",[],2021-08-16 15:08:33
93,Trekant2,just looking around,Danmark,444,143,2217,9,"Ansigtsmasker har som bekendt ingen dokumenterbar effekt på smittespredning af coronavirus. - Heller ikke i Malaysia. 8/1/20 betyder 01.08.2020.
#stopdet #dkpol #dkmedier #sundpol #Covid19dk #coronadk #COVID19 https://t.co/ff5ggi2lOx",[],2021-08-16 14:49:56
94,Trekant2,just looking around,Danmark,444,143,2217,27,"Myocarditis og pericarditis efter vaccination for COVID-19. 5,7 indlæggelser pr. 10.000 vaccinerede. Myocarditis med overvægt af yngre mænd. - Indlæggelser underestimerer det reelle antal.
https://t.co/WtOSRsfP2m
#stopdet #dkpol #dkmedier #sundpol #Covid19dk #coronadk #COVID19",[],2021-08-16 14:43:54
95,KWS99,"In to #education, #antitotalitarism, #truthsearch, #christianity, #confessional_lutheranism,",Denmark,513,171,5202,0,"... og Israel truer allerede med lock-down, når Lambda rammer dem .... 
#dkmedier #nyheder #covid19dk #covid19 @DSAM_dk @LBMathiesen @Martin_Geertsen 
https://t.co/AXXXftvRRC","['dkmedier', 'nyheder', 'covid19dk', 'covid19']",2021-08-16 14:41:45
